,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD,DISMISSAL AGREED
139,621f79e143b89009366c84fc,2021-07-15T22:00:00.000Z,DanKnobelsdorf#0326,iviangita#3204,for ,0,0,0,True,True,False,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,0,0,False
294,621f79e143b89009366c85a1,2021-07-15T22:00:00.000Z,solsista#5370,iviangita#3204,for engaging in discussion on the TE Commons Forum (https://forum.tecommons.org) the past week. Thank you for helping our Token Engineering Commons community share and learn!,0,13,8,True,False,False,osycross(🦎🦎)#5943,bends#3537,calazki#3961,7,13,False
307,621f79e143b89009366c85ae,2021-07-15T22:00:00.000Z,vicente.eth#4828,iviangita#3204,for him Juan wouldn’t be where he is,5,8,0,False,False,True,AmwFund#0979,bends#3537,Mettodo#7010,4,8,False
400,621f79e143b89009366c866d,2021-07-27T22:00:00.000Z,iviangita#3204,Mount Manu#3530,for ,0,1,0,True,False,True,Tam2140#9361,bends#3537,divine_comedian#5493,0,1,False
405,621f79e143b89009366c8677,2021-07-28T22:00:00.000Z,karmaticacid#1218,Vyvy-vi#5040,"for recording the GIVeconomy talk, and saving the day 🎉",144,0,55,False,True,False,Usua◎ Silver#2618,liviade#1387,shawn#7046,66,144,False
419,621f79e143b89009366c8685,2021-07-28T22:00:00.000Z,DanKnobelsdorf#0326,divine_comedian#5493,for speaking at the conferences last week,8,0,55,False,True,False,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,21,55,False
436,621f79e143b89009366c8696,2021-07-28T22:00:00.000Z,Tam2140#9361,liviade#1387,for taking vacation!,0,3,3,True,False,False,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,2,3,False
483,621f79e143b89009366c86d7,2021-07-30T22:00:00.000Z,Tam2140#9361,iviangita#3204,for taking some vacation,0,3,0,True,False,False,osycross(🦎🦎)#5943,Vyvy-vi#5040,calazki#3961,1,3,False
491,621f79e143b89009366c86df,2021-07-30T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for ward,1,1,0,False,False,True,AmwFund#0979,bends#3537,shawn#7046,0,1,False
492,621f79e143b89009366c86e0,2021-07-30T22:00:00.000Z,divine_comedian#5493,iviangita#3204,for ,0,0,0,True,True,False,Usua◎ Silver#2618,Vyvy-vi#5040,calazki#3961,0,0,False
514,621f79e143b89009366c86f6,2021-07-30T22:00:00.000Z,Juankbell#7458,iviangita#3204,for that night they stayed up listening to music with Chuy,0,3,1,True,False,False,osycross(🦎🦎)#5943,Vyvy-vi#5040,divine_comedian#5493,1,3,False
515,621f79e143b89009366c86f7,2021-07-30T22:00:00.000Z,DanKnobelsdorf#0326,iviangita#3204,for that night they stayed up listening to music with Chuy,0,3,0,True,False,False,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,2,3,False
522,621f79e143b89009366c86fe,2021-07-30T22:00:00.000Z,Juankbell#7458,Mount Manu#3530,for visiting Suga’s house,0,3,1,True,False,False,osycross(🦎🦎)#5943,Vyvy-vi#5040,divine_comedian#5493,1,3,False
523,621f79e143b89009366c86ff,2021-07-30T22:00:00.000Z,DanKnobelsdorf#0326,Mount Manu#3530,for visiting Suga’s house,0,0,0,True,True,False,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,1,0,False
540,621f79e143b89009366c8710,2021-07-30T22:00:00.000Z,DanKnobelsdorf#0326,Mount Manu#3530,for speaking at the conferences,13,0,0,False,True,False,osycross(🦎🦎)#5943,liviade#1387,calazki#3961,6,13,False
