,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,SPREAD
1,189,621f79e143b89009366c880e,2021-08-05T22:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for coming up with the idea of the TEC Hatch Bot NFT giveaway,3,144,8,PhilH#1102,Mount Manu#3530,calazki#3961,51,141
2,831,621f79e243b89009366c8b7c,2021-08-26T22:00:00.000Z,Zeptimus#3359,iviangita#3204,for taking on the One-Time Change of TECH Address and Initial Buy into the Bonding Curve proposals and really diving into Hatch governance,21,144,8,AmwFund#0979,Mount Manu#3530,calazki#3961,57,136
3,788,621f79e243b89009366c8b46,2021-08-23T22:00:00.000Z,🐙 octopus#5508,liviade#1387,"for being so generous with his time, for being genuinely passioned about what he does and for helping me put the reward system proposal together, mostly leading the way and laying options out with great didactic",144,8,13,innov8tor3#3988,Mount Manu#3530,Mettodo#7010,55,136
4,581,621f79e243b89009366c8a38,2021-08-19T22:00:00.000Z,VitorNunes#0090,iviangita#3204,"for all the work on the CCD, the designs, comments, user testing and making things understandable for people",13,144,34,teaci#6108,Vyvy-vi#5040,kristofer#1475,63,131
5,252,621f79e143b89009366c88c1,2021-08-09T22:00:00.000Z,shawn#7046,iviangita#3204,for reaching out to translate some TEC articles and introduce TEC in Chinese community 🙏🏼,13,144,34,osycross(🦎🦎)#5943,Parrachia#0450,Usua◎ Silver#2618,63,131
6,290,621f79e243b89009366c88fc,2021-08-11T22:00:00.000Z,VitorNunes#0090,karmaticacid#1218,"for taking on project management position, for being a fantrastic dev, great communicator and all his work on the CCD",34,144,13,teaci#6108,Vyvy-vi#5040,kristofer#1475,63,131
7,39,621f79e143b89009366c8774,2021-08-02T22:00:00.000Z,Zeptimus#3359,iviangita#3204,for creating the Hatch tutorial and bridge videos 🙌,21,144,21,AmwFund#0979,Mount Manu#3530,calazki#3961,62,123
9,185,621f79e143b89009366c880a,2021-08-05T22:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for slaying with the forum posts ✍🏻,1,5,89,PhilH#1102,acidlazzer#5796,calazki#3961,31,88
10,924,621f79e243b89009366c8bd9,2021-08-26T22:00:00.000Z,VitorNunes#0090,iviangita#3204,for working on the params and there’s tons of work there,34,89,3,teaci#6108,Vyvy-vi#5040,kristofer#1475,42,86
11,225,621f79e143b89009366c883a,2021-08-05T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for the TEC Unconference Aftermovie and all the great photos from Paris 🤩,5,89,34,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,42,84
12,494,621f79e243b89009366c89e1,2021-08-16T22:00:00.000Z,pKrepe#5682,"griff (💜, 💜)#8888",for diving into the 4-hour hack sesh on sunday! So much progress made!,8,89,21,Sha#6179,acidlazzer#5796,bends#3537,39,81
13,492,621f79e243b89009366c89df,2021-08-16T22:00:00.000Z,karmaticacid#1218,"griff (💜, 💜)#8888",for diving into the 4-hour hack sesh on sunday! So much progress made!,34,89,13,innov8tor3#3988,acidlazzer#5796,bends#3537,45,76
14,1104,621f79e243b89009366c8ca0,2021-08-30T22:00:00.000Z,hernandoagf#3014,Jolie_Ze#0295,"for for his consistent efforts to help me adapt the \""pollen bot\"" to different sourcecred users. He's been helping me in DMs for weeks now and makes himself super available. Eventually this will lead to a template bot for users of sourcecred to automate opt-ins for payouts, merging and activating identities across the ecosystem",89,13,34,innov8tor3#3988,Mount Manu#3530,Usua◎ Silver#2618,45,76
15,310,621f79e243b89009366c8912,2021-08-12T22:00:00.000Z,BK#7471,iviangita#3204,for hosting the TEC Labs for 2 weeks while YGG was traveling,13,89,55,PhilH#1102,Mount Manu#3530,calazki#3961,52,76
16,840,621f79e243b89009366c8b85,2021-08-26T22:00:00.000Z,elessar.eth#7945,iviangita#3204,for the work on EVM-crispr,21,89,89,PhilH#1102,Vyvy-vi#5040,Usua◎ Silver#2618,66,68
24,796,621f79e243b89009366c8b4e,2021-08-24T22:00:00.000Z,natesuits#4789,"griff (💜, 💜)#8888",for coming to the Params hack sesh on sunday!,5,1,55,innov8tor3#3988,Parrachia#0450,calazki#3961,20,54
25,588,621f79e243b89009366c8a3f,2021-08-19T22:00:00.000Z,karmaticacid#1218,iviangita#3204,for sharing the Giveth Covenant with Livia,55,8,1,innov8tor3#3988,acidlazzer#5796,bends#3537,21,54
26,930,621f79e243b89009366c8bdf,2021-08-26T22:00:00.000Z,chuygarcia.eth#6692,iviangita#3204,for jumping back and leading comms,1,55,21,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,25,54
27,111,621f79e143b89009366c87c0,2021-08-05T22:00:00.000Z,VitorNunes#0090,iviangita#3204,for working on the params,21,55,3,teaci#6108,Vyvy-vi#5040,kristofer#1475,26,52
28,96,621f79e143b89009366c87b1,2021-08-05T22:00:00.000Z,elessar.eth#7945,iviangita#3204,for the super cool https://nft.tecommons.org/,55,3,34,PhilH#1102,Vyvy-vi#5040,Usua◎ Silver#2618,30,52
29,1096,621f79e243b89009366c8c96,2021-08-29T22:00:00.000Z,JessicaZartler#2263,akrtws (TE Academy)#4246,for representing TE Commons at the CryptoCommonsGathering 2021 https://www.crypto-commons.org/ccg-21,55,3,8,innov8tor3#3988,Vyvy-vi#5040,kristofer#1475,22,52
30,448,621f79e243b89009366c89af,2021-08-12T22:00:00.000Z,JessicaZartler#2263,anna-marie#8824,for the governauts research project,55,55,3,innov8tor3#3988,Vyvy-vi#5040,kristofer#1475,37,52
31,227,621f79e143b89009366c883d,2021-08-05T22:00:00.000Z,iviangita#3204,Zeptimus#3359,for being active and checking out all our discord channels to help our community🧡,3,55,3,innov8tor3#3988,Zeptimus#3359,enti#1546,20,52
32,983,621f79e243b89009366c8c14,2021-08-26T22:00:00.000Z,karmaticacid#1218,iviangita#3204,for all the commons config dashboard stuff,55,3,8,innov8tor3#3988,acidlazzer#5796,bends#3537,22,52
33,863,621f79e243b89009366c8b9c,2021-08-26T22:00:00.000Z,fabiomendes#4802,iviangita#3204,for being our developer ninjas,55,5,21,Sha#6179,Tam2140#9361,Usua◎ Silver#2618,27,50
34,18,621f79e143b89009366c875f,2021-08-02T22:00:00.000Z,Zeptimus#3359,liviade#1387,for taking the leadership on improving our communication and coherence of the advice process,13,5,55,AmwFund#0979,Mount Manu#3530,calazki#3961,24,50
35,67,621f79e143b89009366c8794,2021-08-03T22:00:00.000Z,JessicaZartler#2263,liviade#1387,for leading a CS + TEC comms meeting to align both hatch comms strategies ⚡,55,5,5,innov8tor3#3988,Vyvy-vi#5040,kristofer#1475,21,50
36,284,621f79e243b89009366c88f6,2021-08-11T22:00:00.000Z,iviangita#3204,karmaticacid#1218,"for keeping things organized, typing out the praise, managing the twitter and being a total rockstart",55,34,5,innov8tor3#3988,Zeptimus#3359,enti#1546,31,50
37,1117,621f79e243b89009366c8cad,2021-08-30T22:00:00.000Z,iviangita#3204,"griff (💜, 💜)#8888",for working so hard on the Param Tweet Thread,55,13,5,innov8tor3#3988,Zeptimus#3359,enti#1546,24,50
38,1136,621f79e243b89009366c8cc1,2021-08-30T22:00:00.000Z,natesuits#4789,Suga#8514,for attending the SoftGov call this week and engaging with me as guest host on a discussion of “intellectual humility”.,55,5,8,innov8tor3#3988,Parrachia#0450,calazki#3961,22,50
39,818,621f79e243b89009366c8b6e,2021-08-25T22:00:00.000Z,acidlazzer#5796,karmaticacid#1218,for making awesome TEC graphics on demand,13,5,55,AmwFund#0979,Tam2140#9361,divine_comedian#5493,24,50
40,929,621f79e243b89009366c8bde,2021-08-26T22:00:00.000Z,"griff (💜, 💜)#8888",iviangita#3204,for working on the params and there’s tons of work there,5,55,21,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,27,50
41,182,621f79e143b89009366c8807,2021-08-05T22:00:00.000Z,DanKnobelsdorf#0326,Mount Manu#3530,"for all his hard work with the TrustedSeed, work which we may not see but feel its benefits we do 🧙🏻‍♂️",8,55,13,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,25,47
42,279,621f79e243b89009366c88f1,2021-08-11T22:00:00.000Z,Mount Manu#3530,anna-marie#8824,for spearheading CCD testing and feedback,8,55,34,PhilH#1102,Parrachia#0450,divine_comedian#5493,32,47
43,491,621f79e243b89009366c89de,2021-08-16T22:00:00.000Z,divine_comedian#5493,"griff (💜, 💜)#8888",for diving into the 4-hour hack sesh on sunday! So much progress made!,8,55,8,PhilH#1102,acidlazzer#5796,calazki#3961,23,47
44,116,621f79e143b89009366c87c5,2021-08-05T22:00:00.000Z,jukren#8803,iviangita#3204,for all the coordination in the groundwork in Paris and everybody was taken care of,34,8,55,AmwFund#0979,Mount Manu#3530,bends#3537,32,47
45,209,621f79e143b89009366c882a,2021-08-05T22:00:00.000Z,divine_comedian#5493,markop#2007,for helping with the ABC Module design of the Commons Upgrade Dashboard.,13,8,55,PhilH#1102,acidlazzer#5796,calazki#3961,25,47
46,1103,621f79e243b89009366c8c9f,2021-08-29T22:00:00.000Z,chuygarcia.eth#6692,Zeptimus#3359,for being the first steward working on WG funding proposals and taking initiative🙏,8,55,34,eduardovegap#0422,Zeptimus#3359,Usua◎ Silver#2618,32,47
47,531,621f79e243b89009366c8a06,2021-08-18T22:00:00.000Z,trangnv#2156,ygg_anderson#4998,for helping out so much with Tokenspice development series!,13,8,55,Sha#6179,acidlazzer#5796,Usua◎ Silver#2618,25,47
48,268,621f79e243b89009366c88e6,2021-08-11T22:00:00.000Z,DanKnobelsdorf#0326,Vyvy-vi#5040,for sorting through all the Trusted Seed applications and verifying people 💜,8,55,34,teaci#6108,Vyvy-vi#5040,divine_comedian#5493,32,47
