,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD,DISMISSAL AGREED
9,621f79e243b89009366c8cd5,2021-08-31T22:00:00.000Z,nic#9212,Suga#8514,for jumping back in again. xx,3,0,0,3,False,True,True,False,Mount Manu#3530,liviade#1387,Parrachia#0450,Nuggan#5183,1,3,False
25,621f79e243b89009366c8cea,2021-09-01T22:00:00.000Z,pKrepe#5682,divine_comedian#5493,for their brazilian hacking skills on the CCD,55,0,89,13,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,39,89,False
26,621f79e243b89009366c8ceb,2021-09-01T22:00:00.000Z,elessar.eth#7945,"griff (💜, 💜)#8888","for EVM Crispr, an amazing tool",144,0,3,5,False,True,False,False,Zeptimus#3359,Mettodo#7010,acidlazzer#5796,Nuggan#5183,38,144,False
36,621f79e243b89009366c8cf5,2021-09-01T22:00:00.000Z,divine_comedian#5493,divine_comedian#5493,"for design, development, ideation and copywriting support on the CCD",0,34,89,34,True,False,False,False,innov8tor3#3988,liviade#1387,Maxwe11#7157,hanners717#2022,39,89,False
47,621f79e243b89009366c8d00,2021-09-02T22:00:00.000Z,iviangita#3204,iviangita#3204,"for all the incredible behind-the-scenes work and all the little things she’s constantly doing in the back office helping with Twitter, the board and work agreements",0,3,144,21,True,False,False,False,innov8tor3#3988,enti#1546,Maxwe11#7157,Usua◎ Silver#2618,42,144,False
50,621f79e243b89009366c8d03,2021-09-02T22:00:00.000Z,liviade#1387,iviangita#3204,for being on vacation,3,1,0,1,False,False,True,False,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,1,3,False
61,621f79e243b89009366c8d0e,2021-09-02T22:00:00.000Z,liviade#1387,iviangita#3204,for being on vacation somewhere in Brazil,0,0,0,1,False,False,True,False,PhilH#1102,enti#1546,Parrachia#0450,Nuggan#5183,0,1,False
71,621f79e243b89009366c8d18,2021-09-02T22:00:00.000Z,iviangita#3204,iviangita#3204,for being so meticulous,0,1,3,13,True,False,False,False,innov8tor3#3988,enti#1546,Maxwe11#7157,Usua◎ Silver#2618,4,13,False
76,621f79e243b89009366c8d1d,2021-09-02T22:00:00.000Z,pKrepe#5682,iviangita#3204,for their ninja skills and hacking on the CCD development,0,0,1,21,False,True,False,False,PhilH#1102,Mettodo#7010,bends#3537,Usua◎ Silver#2618,6,21,False
87,621f79e243b89009366c8d28,2021-09-02T22:00:00.000Z,danielo#2815,iviangita#3204,"for joining the TEC Community Call 47 <:TEC_full:835017653306654730> 

https://youtu.be/G77UmujbYPY",5,1,1,0,False,False,False,True,Mount Manu#3530,AmwFund#0979,Maxwe11#7157,Nuggan#5183,1,5,False
