USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,280.1011930680136,16.351472320376914,296.0,13.399999999999999,309.85266538839045
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,255.2103108943656,10.661601884570082,193.0,0.0,265.87191277893567
natesuits#4789,0x66df5a7715c5d4afbbfa52435c66aa20733be0d1,187.15422798920142,0.0,0.0,0.0,187.15422798920142
Tam2140#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,169.82513280501612,0.0,0.0,0.0,169.82513280501612
iviangita#3204,0xa3fcc4d905f381c5e9392207bf7918ef01b1ba44,166.67438822607332,0.0,0.0,0.0,166.67438822607332
"griff (💜, 💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,161.3181224418706,0.0,0.0,0.0,161.3181224418706
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,144.30410171557955,16.57243816254417,300.0,0.0,160.8765398781237
Juankbell#7458,0x7d547666209755fb833f9b37eebea38ebf513abb,160.0578246102935,0.0,0.0,0.0,160.0578246102935
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,112.16650701036315,15.633333333333331,283.0,13.399999999999999,141.19984034369648
fabiomendes#4802,0xe64f06f695de4c4e21ba8f383a2675fd884ac720,131.7011233998084,0.0,0.0,0.0,131.7011233998084
chuygarcia.eth#6692,0xb22981ba3fe1de2325935c91a3b717168fb86714,114.68710267351737,0.0,0.0,13.399999999999999,128.08710267351736
VitorNunes#0090,missing user address,126.97500653139423,0.0,0.0,0.0,126.97500653139423
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,105.23486893668903,0.0,0.0,13.399999999999999,118.63486893668903
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,101.76904989985195,13.257950530035336,240.0,0.0,115.02700042988728
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,81.28921013672385,15.799057714958774,286.0,0.0,97.08826785168263
pKrepe#5682,0xb46a595c65f62236eb7934b43397e0a05ea33c10,91.68666724723504,0.0,0.0,0.0,91.68666724723504
karmaticacid#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,90.42636941565793,0.0,0.0,0.0,90.42636941565793
Suga#8514,0x2fee53687906ba239602ed42cceee2ac8a4ada36,70.89175302621267,0.0,0.0,0.0,70.89175302621267
David (please DYOR...)#4116,missing user address,67.11085953148132,0.0,0.0,0.0,67.11085953148132
markop#2007,0xf27838b0c3ba2eee13b6ed3fe13a90ef7b57a2cc,65.22041278411565,0.0,0.0,0.0,65.22041278411565
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,51.35713663676739,12.263604240282683,222.0,0.0,63.620740877050075
ygg_anderson#4998,0x763d7d362b59aea3858a92a302e18cd41b1252d4,52.93250892623879,0.0,0.0,0.0,52.93250892623879
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,51.98728555255595,0.0,0.0,0.0,51.98728555255595
anna-marie#8824,missing user address,48.20639205782461,0.0,0.0,0.0,48.20639205782461
r33pich33p#6906,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,43.480275189410435,0.0,0.0,0.0,43.480275189410435
Caeser (PST)#0046,missing user address,32.76774362100497,0.0,0.0,0.0,32.76774362100497
sem  🐝#0161,missing user address,30.877296873639292,0.0,0.0,0.0,30.877296873639292
innov8tor3#3988,0xbcad90f4a1ed4067d9bc33d4089ff18a82250253,15.438648436819646,14.307538280329798,259.0,0.0,29.746186717149442
santigs#9769,0x9194b1713a8e07bc47b90fb7937e28e09b6cd100,27.726552294696507,0.0,0.0,0.0,27.726552294696507
elessar.eth#7945,missing user address,27.726552294696507,0.0,0.0,0.0,27.726552294696507
ALOYSIOUS#3049,0x1c1bfc1763c8e88fccce1b57eefc79a461fa4944,27.41147783680223,0.0,0.0,0.0,27.41147783680223
DanKnobelsdorf#0326,0x301605c95acbed7a1fd9c2c0deee964e2afbd0c3,27.09640337890795,0.0,0.0,0.0,27.09640337890795
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,14.178350605242533,11.876914016489986,215.0,0.0,26.05526462173252
durgadas#9280,0xff6d6a7718a234a84f740480dbb07f6c09cf1cd5,25.52103108943656,0.0,0.0,0.0,25.52103108943656
akrtws (TE Academy)#4246,0x852b8763ecb27beddc190d1792029bc17fd5439a,22.685360968388053,0.0,0.0,0.0,22.685360968388053
rdfbbx#6437,0xf592ee0e3a20ddd65882e0fe6bfbb4b465a98ae4,21.740137594705217,0.0,0.0,0.0,21.740137594705217
mateodaza#3156,0x00d18ca9782be1caef611017c2fbc1a39779a57c,7.876861447356963,0.0,0.0,13.399999999999999,21.27686144735696
JessicaZartler#2263,missing user address,21.109988678916658,0.0,0.0,0.0,21.109988678916658
bends#3537,0x1e975f53956d644868f3ea25690b1bbeda658565,3.780893494731342,16.46195524146054,298.0,0.0,20.24284873619188
