index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
1442,621f79e443b89009366ca794,2021-12-26T23:00:00.000Z,karmaticacid#1218,Mount Manu#3530,for contributing to the proposal debates and championing a proposal each,3,144,0,0,,,,621f79e443b89009366ca610,False,False,False,False,enti#1546,Vyvy-vi#5040,Sha#6179,bear100#9085,49,144
14,621f79e343b89009366ca154,2021-11-28T23:00:00.000Z,sem  🐝#0161,Juankbell#7458,for being a hero in the shadows and one of the biggest architects of the TEC,13,8,0,144,,,,,False,False,False,False,Mettodo#7010,divine_comedian#5493,Sha#6179,liviade#1387,55,144
834,621f79e443b89009366ca524,2021-12-18T23:00:00.000Z,sem  🐝#0161,iviangita#3204,for the incredible work they’re doing and making sure we have a safe launch for all of our smart contracts systems,21,0,0,144,,621f79e343b89009366ca4c9,,,False,False,False,False,Mettodo#7010,divine_comedian#5493,Sha#6179,liviade#1387,59,144
1319,621f79e443b89009366ca719,2021-12-25T23:00:00.000Z,divine_comedian#5493,Mount Manu#3530,for facilitating Params Parties and debates: we moved a long way forward with that so thank all of you!,0,144,8,13,621f79e443b89009366ca645,,,,False,False,False,False,enti#1546,Vyvy-vi#5040,teaci#6108,hanners717#2022,41,144
744,621f79e343b89009366ca4c9,2021-12-15T23:00:00.000Z,sem  🐝#0161,divine_comedian#5493,"for med with the Commons Upgrade Demo making the \""meat\"" of the commons upgrade functional and secure",13,144,0,0,,,,621f79e343b89009366ca14c,False,False,False,False,Mettodo#7010,divine_comedian#5493,Sha#6179,liviade#1387,57,144
6,621f79e343b89009366ca14c,2021-11-28T23:00:00.000Z,sem  🐝#0161,Juankbell#7458,for developing and testing the smart contracts. They are actually hosting a demo of the augmented bonding curve and all the commons upgrade tooling. Much admiration and respect for that,89,144,0,144,,,,,False,False,False,False,Mettodo#7010,divine_comedian#5493,Sha#6179,liviade#1387,125,144
7,621f79e343b89009366ca14d,2021-11-28T23:00:00.000Z,bradleyc#3333,Juankbell#7458,for developing and testing the smart contracts. They are actually hosting a demo of the augmented bonding curve and all the commons upgrade tooling. Much admiration and respect for that,5,8,0,144,,,,,False,False,False,False,enti#1546,bends#3537,Sha#6179,liviade#1387,52,144
883,621f79e443b89009366ca555,2021-12-18T23:00:00.000Z,Juankbell#7458,iviangita#3204,"for leading Gravity, it is needed because we don’t have interpersonal conflict resolution much in this space",8,144,3,8,,,,,False,False,False,False,tigeroid#2951,Vyvy-vi#5040,Usua◎ Silver#2618,Nuggan#5183,40,141
443,621f79e343b89009366ca34a,2021-12-08T23:00:00.000Z,solsista#5370,liviade#1387,for continuing to push the TE ethics flag!,5,144,8,8,,,,,False,False,False,False,missgene#7773,"griff (💜, 💜)#8888",zhiwei#1356,Nuggan#5183,41,139
524,621f79e343b89009366ca3b6,2021-12-10T23:00:00.000Z,ALOYSIOUS#3049,🐙 octopus#5508,for inspiring me to claim my neurodivergent identity for the first time in a public place.,5,5,34,144,,,,,False,False,False,False,tigeroid#2951,Vyvy-vi#5040,zhiwei#1356,liviade#1387,47,139
