,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
0,699,6256d00b7d6ca6ad95bd56c5,2022-01-12T23:00:00.000Z,Juankbell#7458,Nuggan#5183,for their great Param proposals and debates and of course  for designing the winning one!💪,0,13,8,144,hanners717#2022,missgene#7773,PhilH#1102,bear100#9085,55,144
4,507,6256d00b7d6ca6ad95bd5605,2022-01-10T23:00:00.000Z,Vyvy-vi#5040,Mount Manu#3530,for the incredible work getting our Discord onboarding experience upgraded and in god mode,0,144,55,34,Mettodo#7010,Tam2140#9361,divine_comedian#5493,bear100#9085,77,144
7,1343,6256d00b7d6ca6ad95bd5949,2022-01-20T23:00:00.000Z,sem  🐝#0161,divine_comedian#5493,for working overtime seeming all the time to get all the commons upgrade pieces deployed,144,8,21,0,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,57,144
8,1003,6256d00b7d6ca6ad95bd57f5,2022-01-16T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for safeguarding our raised funds,144,8,34,0,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,62,144
14,179,6256d00a7d6ca6ad95bd54bd,2022-01-09T23:00:00.000Z,VitorNunes#0090,Mount Manu#3530,"for all the work that they’re doing to make sure we have a safe launch, finding all the intricacies that we have to deal with for the launch",0,5,144,0,hanners717#2022,bends#3537,liviade#1387,innov8tor3#3988,74,144
16,175,6256d00a7d6ca6ad95bd54b9,2022-01-09T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,"for all the work that they’re doing to make sure we have a safe launch, finding all the intricacies that we have to deal with for the launch",144,13,21,0,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,59,144
17,1145,6256d00b7d6ca6ad95bd5883,2022-01-18T23:00:00.000Z,sem  🐝#0161,Juankbell#7458,for making the oficial TEC minting and distribution 🚀,144,5,34,0,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,61,144
18,571,6256d00b7d6ca6ad95bd5645,2022-01-10T23:00:00.000Z,Vyvy-vi#5040,Mount Manu#3530,for being our bot & data guru that we can always reach out to for meaningful information and problem solving,0,144,89,3,Mettodo#7010,Tam2140#9361,divine_comedian#5493,bear100#9085,78,144
19,362,6256d00a7d6ca6ad95bd5574,2022-01-09T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for the backend work you’ve been doing around the CU,144,34,21,0,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,66,144
24,809,6256d00b7d6ca6ad95bd5733,2022-01-15T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for painstakingly going through all the parameters and everything to get the Commons Upgrade  to happen without any issues; everything’s launched now so major praise to these heroes,144,5,55,0,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,68,144
27,1512,6256d00b7d6ca6ad95bd59f2,2022-01-24T23:00:00.000Z,sem  🐝#0161,"griff (💜, 💜)#8888",for the Real Time Launch action! Great sharing the war room with you!!!,144,13,21,0,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,59,144
28,1418,6256d00b7d6ca6ad95bd5994,2022-01-21T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,"for the epic work around the Hatch, the ABC, EVM-Crispr, and the CU",144,13,21,0,Zeptimus#3359,bends#3537,tigeroid#2951,innov8tor3#3988,59,144
