index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,SCORE 1,SCORE 2,SCORE 3,SCORE 4,DUPLICATE ID 1,DUPLICATE ID 2,DUPLICATE ID 3,DUPLICATE ID 4,DISMISSED 1,DISMISSED 2,DISMISSED 3,DISMISSED 4,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,QUANTIFIER 4 USERNAME,AVG SCORE,SPREAD
1149,6256d00b7d6ca6ad95bd5f4a,2022-02-25T23:00:00.000Z,chuygarcia.eth#6692,Mount Manu#3530,"for organizing the DAOist, coordinating all the speaker slots, and making sure we have representation from the TEC and from Giveth",144,34,8,0,,,,,False,False,False,False,bear100#9085,missgene#7773,acidlazzer#5796,Tam2140#9361,62,144
957,6256d00b7d6ca6ad95bd5e8a,2022-02-19T23:00:00.000Z,karmaticacid#1218,Mount Manu#3530,for attending ETHDenver and doing presentations & panels about our work within the TEC,55,21,144,0,,,,,False,False,False,False,bear100#9085,lee0007#8152,divine_comedian#5493,Tam2140#9361,73,144
172,6256d00b7d6ca6ad95bd5b79,2022-02-08T23:00:00.000Z,akrtws (TE Academy)#4246,Mount Manu#3530,for evolving TE Academy from an unknown tribe into a global organization that is gonna do an immeasurable amount of good for this new discipline: a heartfelt thank you,13,144,3,55,,,,,False,False,False,False,GideonRo#3175,lee0007#8152,boonjue.eth#7124,innov8tor3#3988,53,141
1127,6256d00b7d6ca6ad95bd5f34,2022-02-24T23:00:00.000Z,ygg_anderson#4998,PhilH#1102,"for relentlessly shedding light on the art of modeling and making complex matters so much less intimidating, on the Governauts Rewards Systems program at TE Academy 💡 💙",13,8,144,13,,,,,False,False,False,False,Mike Brunt#0745,lee0007#8152,divine_comedian#5493,AmwFund#0979,44,136
133,6256d00b7d6ca6ad95bd5b52,2022-02-08T23:00:00.000Z,JeffEmmett#7202,Mount Manu#3530,"for all their contributions, over months and months of work, and for being the inspiration of what our WG has achieved",0,13,89,0,,,,,False,False,False,False,osycross(🦎🦎)#5943,Zeptimus#3359,Nuggan#5183,Tam2140#9361,51,89
126,6256d00b7d6ca6ad95bd5b4b,2022-02-08T23:00:00.000Z,sem  🐝#0161,Mount Manu#3530,for all the hard work that they put into the open source software that we build for the whole of web3,89,0,13,0,,,,,False,False,False,False,bear100#9085,Usua◎ Silver#2618,boonjue.eth#7124,Tam2140#9361,51,89
440,6256d00b7d6ca6ad95bd5c85,2022-02-08T23:00:00.000Z,chuygarcia.eth#6692,Mount Manu#3530,"for your enthusiasm, integrity, humility, skills, class: it’s truly a pleasure working with you",89,3,13,0,,,,,False,False,False,False,bear100#9085,missgene#7773,acidlazzer#5796,Tam2140#9361,35,89
44,6256d00b7d6ca6ad95bd5af9,2022-02-02T23:00:00.000Z,catarina#7223,liviade#1387,for the amazing work with the decision making graphic which is now finalized 🥳,0,13,89,13,,,,,False,False,False,False,osycross(🦎🦎)#5943,Zeptimus#3359,divine_comedian#5493,EFRA#7972,38,89
712,6256d00b7d6ca6ad95bd5d95,2022-02-12T23:00:00.000Z,Mert Ozd#6679,Mount Manu#3530,for your participation in the proposal inverter,8,0,89,0,,,,6256d00b7d6ca6ad95bd5df4,False,False,False,False,eduardovegap#0422,Usua◎ Silver#2618,divine_comedian#5493,innov8tor3#3988,33,89
807,6256d00b7d6ca6ad95bd5df4,2022-02-14T23:00:00.000Z,Mert Ozd#6679,Mount Manu#3530,"for the work he does as liaison between PrimeDAO and TEC, educating people about the proposal inverter, how it works, and how to actualize it",13,0,89,34,,,,,False,False,False,False,eduardovegap#0422,Usua◎ Silver#2618,divine_comedian#5493,innov8tor3#3988,45,89
652,6256d00b7d6ca6ad95bd5d59,2022-02-12T23:00:00.000Z,karmaticacid#1218,Mount Manu#3530,for representing the TEC in ETHDenver,5,0,89,0,,,,,False,True,False,False,bear100#9085,lee0007#8152,divine_comedian#5493,Tam2140#9361,31,89
136,6256d00b7d6ca6ad95bd5b55,2022-02-08T23:00:00.000Z,santigs#9769,Mount Manu#3530,"for all their contributions, over months and months of work, and for being the inspiration of what our WG has achieved",0,89,21,0,,,,6256d00b7d6ca6ad95bd5bf0,False,False,False,False,osycross(🦎🦎)#5943,liviade#1387,boonjue.eth#7124,innov8tor3#3988,37,89
910,6256d00b7d6ca6ad95bd5e5b,2022-02-18T23:00:00.000Z,"griff (💜, 💜)#8888",Mount Manu#3530,for representing the TEC community at ETHDenver,0,21,89,8,,,,,False,False,False,False,osycross(🦎🦎)#5943,missgene#7773,Nuggan#5183,EFRA#7972,39,89
874,6256d00b7d6ca6ad95bd5e37,2022-02-17T23:00:00.000Z,Tam2140#9361,enti#1546,"for her amazing presentation, as we continue looking for how to work things out with these new structures coming up better stewardship becomes key for the survival and success of communities, I've seen quite a few fall for the lack of it. https://youtu.be/7UvPCDbBKcQ",34,0,89,13,,,,,False,False,False,False,Mike Brunt#0745,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,45,89
184,6256d00b7d6ca6ad95bd5b85,2022-02-08T23:00:00.000Z,solsista#5370,Mount Manu#3530,"for running the first TE course along with Angela because without you TE Academy wouldn’t be where it is now, for being so enthusiastic",0,89,5,21,,,,,False,False,False,False,osycross(🦎🦎)#5943,Zeptimus#3359,acidlazzer#5796,EFRA#7972,38,89
611,6256d00b7d6ca6ad95bd5d30,2022-02-09T23:00:00.000Z,Vyvy-vi#5040,kristofer#1475,for writing the new praise bot!,89,8,1,34,,,,,False,False,False,False,GideonRo#3175,liviade#1387,Nuggan#5183,EFRA#7972,33,88
715,6256d00b7d6ca6ad95bd5d98,2022-02-12T23:00:00.000Z,ygg_anderson#4998,Mount Manu#3530,for your participation in the proposal inverter,8,3,89,5,,,,,False,False,False,False,Mike Brunt#0745,lee0007#8152,divine_comedian#5493,AmwFund#0979,26,86
310,6256d00b7d6ca6ad95bd5c03,2022-02-08T23:00:00.000Z,trentmc0#2875,Mount Manu#3530,for being TE thought leaders and for having given the TEC their support,13,89,5,34,,,,,False,False,False,False,Mike Brunt#0745,Zeptimus#3359,acidlazzer#5796,tigeroid#2951,35,84
653,6256d00b7d6ca6ad95bd5d5a,2022-02-12T23:00:00.000Z,JohnPaller | Opolis#2670,Mount Manu#3530,for being one of the organizers of ETHDenver,89,21,8,34,,,,,False,False,False,False,bear100#9085,Zeptimus#3359,acidlazzer#5796,tigeroid#2951,38,81
345,6256d00b7d6ca6ad95bd5c26,2022-02-08T23:00:00.000Z,acidlazzer#5796,Mount Manu#3530,for taking care of all of TEC's designs,34,34,89,8,,,,,False,False,False,False,GideonRo#3175,Zeptimus#3359,divine_comedian#5493,innov8tor3#3988,41,81
431,6256d00b7d6ca6ad95bd5c7c,2022-02-08T23:00:00.000Z,daniela afanador#9245,Mount Manu#3530,for getting into the Hackathon where we hope to expand Celeste capabilities,13,8,8,89,,,,,False,False,False,False,Mike Brunt#0745,liviade#1387,boonjue.eth#7124,tigeroid#2951,29,81
1356,6256d00b7d6ca6ad95bd6019,2022-02-26T23:00:00.000Z,hz#8826,kristofer#1475,"for configuring the TEC SourceCred instance and for massaging the pollen bots. Many hours spent on this, without you, no TEC SC installation! 🙏",13,34,89,13,,,,,False,False,False,False,eduardovegap#0422,missgene#7773,Nuggan#5183,AmwFund#0979,37,76
192,6256d00b7d6ca6ad95bd5b8d,2022-02-08T23:00:00.000Z,simondlr#8472,Mount Manu#3530,"for the great AMA he did in our channel, a while back, about bonding curves",0,13,55,21,,,,,False,False,False,False,osycross(🦎🦎)#5943,lee0007#8152,boonjue.eth#7124,tigeroid#2951,29,55
1089,6256d00b7d6ca6ad95bd5f0e,2022-02-23T23:00:00.000Z,Leen#8610,Ratio13#0578,for their continued involvement in TEC and Transparency WG. for the continued support for leading Legal WG during ETH Denver and continued support in Transparency. & for the awesome Gravity workshop. Lastly all those representing TEC at ETH Denver.,21,0,5,55,,,,,False,False,False,False,Mike Brunt#0745,Usua◎ Silver#2618,enti#1546,EFRA#7972,27,55
650,6256d00b7d6ca6ad95bd5d57,2022-02-12T23:00:00.000Z,Tam2140#9361,Mount Manu#3530,for representing the TEC in ETHDenver,34,0,55,13,,,,,False,False,False,False,Mike Brunt#0745,Usua◎ Silver#2618,boonjue.eth#7124,tigeroid#2951,34,55
481,6256d00b7d6ca6ad95bd5cae,2022-02-08T23:00:00.000Z,acidlazzer#5796,Mount Manu#3530,for writing the “how to get TEC” article,0,8,8,55,,,,,True,False,False,False,GideonRo#3175,Zeptimus#3359,divine_comedian#5493,innov8tor3#3988,17,55
